PDB code,Peptide length,Polar interface (%)
1HQQ,13,64.54
1HXL,13,57.97
1HXZ,13,59.95
1JK4,6,61.81
1SFI,14,61.97
1SLD,6,73.42
1SLE,8,77.4
1SMF,9,66.97
1VWB,6,73.17
1VWC,6,69.6
1VWD,6,71.95
1VWE,6,73.67
1VWM,6,73.47
1VWN,6,73.35
1YF4,9,50.68
2BR8,16,67.27
2C9T,12,58.25
2NWN,12,51.01
2UZ6,16,66.76
3AV9,8,61.29
3AVA,8,61.58
3AVB,8,61.38
3AVC,8,62.3
3AVF,8,59.7
3AVG,8,61.83
3AVH,8,62.45
3AVI,8,63.35
3AVJ,8,64.8
3AVK,8,63.12
3AVL,8,61.54
3AVM,8,61.26
3AVN,8,61.76
3M61,12,49.48
3P72,11,62.62
3P8F,14,65.48
3WNE,6,63.78
3WNF,6,65.77
3ZGC,7,48.78
4EZ1,13,71.56
4GLY,13,48.12
4K1E,14,65.55
4KEL,14,65.36
4OU3,6,42.09
4X1Q,10,56.36
4XOJ,13,60.96
4Z09,13,65.07
4ZHL,10,59.9
4ZKS,12,49.14
5CO5,16,62.1
5DI8,13,65.33
5DJ0,13,65.82
5DJ6,13,65
5DJ8,13,66.31
5DJC,13,63.72
5DJX,13,66.91
5DJY,13,63.52
5DJZ,13,64.62
5DK0,13,66.71
5DVL,13,69.61
5DVN,13,70.37
5EOC,13,61.52
5GRD,10,59.7
5GRG,4,54.93
5JZU,13,57.73
5TU6,7,69.69
5XN3,8,49.33
6BVH,14,58.18
6D3Y,14,58.28
6D3Z,14,62.3
6XVD,12,49.76
7BB6,9,70.79
7BB7,9,70.55
7DW9,9,61.83
7K2E,7,48.6
7K2F,7,48.76
7K2G,7,47.51
7K2H,7,50.96
7K2I,7,52.4
7K2M,7,50.72
7N0W,14,62.2
7N43,17,72.08
